,created_at,likes,replies,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1544542053000.0,1,0,0,"Sending my best wishes from the United States   to @KTRTRS, #HarishRao and #KCR  on winning the hearts of Telangana people again! God bless TELANGANA. 
#TRS #TelanganaElectionResults",1072513224082448390,432246112,Rakesh,RakeshIX
1,1544792022000.0,4,0,0,"#TRS #Harishrao Wishes To #Ktr for appointing as #TRSworkingpresident #KTR Reaction...
Watch here>>https://yt2.pics.ee/D5A9P 
@99tvtelugu @trspartyonline @KTRTRS @HarishRao_TRS",1073561667684859907,2315205930,99TV Telugu,99tvtelugu
2,1544540932000.0,12,0,1,"#TRS Leader #HarishRao Face to Face After His Victory in #SiddipetDistrict..
Watch here>>https://yt2.pics.ee/D6SQM 
@99tvtelugu @trspartyonline @KTRTRS @HarishRao_TRS",1072508521068011520,2315205930,99TV Telugu,99tvtelugu
3,1544542279000.0,11,0,3,"If you ever feel low remember there are people who contest against this guy  #Harishrao mass 
#TRS #KCR #ktr #Results2018 #TelanganaElectionResultspic.twitter.com/C5OEZEMmRB",1072514170229280768,375589437,Hakuna Matata,icharancherry
4,1544575439000.0,39,0,13,"Congratulations on the clean sweep #KCR garu, @KTRTRS, #HarishRao garu, @RaoKavitha  and all the leaders and workers of #TRS Party. May you continue doing great work and take Telangana to greater heights. All the very best for your new term!!
#RamCharan Via Fbpic.twitter.com/xHvOUyB7Vs",1072653255056990209,798013553055666177,వినయ విధేయ రామా!,CherrySrikanth8
5,1544587023000.0,2,0,0,"@KTRTRS Congratulations sir for a tremendous victory.  My personal suggestion sir please give pesticides and fertilizers on subsidy to farmers,  which will be a great boon for them..  Thank sir.  #HarishRao",1072701840058310656,871307707692666880,Bhukya Vikesh,VikeshBhukya
6,1544510200000.0,3,1,0,"106k votes majority for #HarishRao 
#TelanganaElectionResults",1072379621977546752,709273649,Rana Pratap,urstrulyrana5
7,1544610787000.0,0,0,0,cograts sir.......  u have won with highest majority.. #HARISHRAO,1072801515839078400,1072797536346390528,ptreddy1,ptreddy15
8,1544584015000.0,2,0,0,"Heartily Congratulations to @KTRTRS #Kcr sir
@RaoKavitha @tarspartyonline ... #KTR sir #Harishrao Sir you both are the inspirational person to every and every Telangana people ..... we the people of khanapur Constituency very thankful to @tarspartyonline ....",1072689225407950848,267614480,Harish Kumar Lekkala,harishkumar_IND
9,1544632162000.0,0,0,0,@trsharish people recognized ur hard work in the past few years and elected u again for the betterment of Telangana i wish u all success in upcoming years sir well deserved leader #TelanganaElections2018 #HarishRao  u have created history by winning majority of seats sir,1072891169766604800,2663082629,Nani Prashanth,naniprashanth07
