,tweets,Date,Location
0,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,
1,@Gunasekhar1 I just joined the q when u were going out. Still at same place. Process is slow. But everyone standing and waiting for thr turn. #voteforkcr,2018-12-07 08:14:25,
2,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,
3,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,Hyderabad
4,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,Warangal
5,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,Hyderabad 
6,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,KARIMNAGAR/HYDERABAD
7,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,India Warangal
8,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,"Vijayawada, India"
9,@sancorps TRS should win ... else CBN will be more brutal in media management when Andhra elections commence .. let’s shout for TRS. Telangana lone Inthala media manipulation undhi antae imagine the situation in AP where he is the CM. Hence #VoteForKCR,2018-12-07 02:54:47,
10,@_SampathKP TRS should win ... else CBN will be more brutal in media management when Andhra elections commence .. let’s shout for TRS. Telangana lone Inthala media manipulation undhi antae imagine the situation in AP where he is the CM. Hence #VoteForKCR,2018-12-07 02:54:27,
11,@EntrepreneurIN_ TRS should win ... else CBN will be more brutal in media management when Andhra elections commence .. let’s shout for TRS. Telangana lone Inthala media manipulation undhi antae imagine the situation in AP where he is the CM. Hence #VoteForKCR,2018-12-07 02:51:05,
12,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,"Puttur, India"
13,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,"Hyderabad, Telangana State"
14,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,
15,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,
16,"Finally ! The D Day for #TelanganaElections2018

Andaru dongale Kani..

prajala money prajalake ivadam Lo 
#KCR N0.1 CM, 

most of the money giving back to people the which money they pay as tax.

#VoteForDevelopment 
#VoteForTelangana
#VoteForKCR
#VoteForCAR",2018-12-06 18:58:22,
17,@KTRTRS #VoteForTRS #VoteForCAR #voteforKCR Vote for progress. https://t.co/mfcqWnuEdu,2018-12-06 04:19:23,
18,"India needs to change,the begining will be from hyderabad.. whats bjp and congress federal?? I want to break that and bring new things in india.. #leadership #cmokcr #TelanganaElections2018 #PhirEkBaarKCR #harbarkcr @KTRTRS @TelanganaCMO @TSwithKCR #voteforkcr https://t.co/Y8xbyI1qgg",2018-12-05 16:35:09,"Hyderabad, India"
19,"India needs to change,the begining will be from hyderabad.. whats bjp and congress federal?? I want to break that and bring new things in india.. #leadership #cmokcr #TelanganaElections2018 #PhirEkBaarKCR #harbarkcr @KTRTRS @TelanganaCMO @TSwithKCR #voteforkcr https://t.co/Y8xbyI1qgg",2018-12-05 16:35:09,"Hyderabad, India"
20,"#MP #KTR #Election Campaign in the Support of #TRS #MLA Candidate Ravi Shankar at #Choppadandi Town, #Karimnagar District, #Telangana State.
#trspartyonline #TelanganaElections2018 #TelanganaElections #PhirEkBharKCR #TelanganaCampaign #ElectionCampaign #VoteForKCR #TelanganaCMO https://t.co/2H6ESVag4g",2018-12-05 07:19:43,"Hyderabad, India"
21,"Development &amp; Schemes are in front of your eyes..
Its election time.. Lift your ass up &amp; get out for vote on #TelanganaElections2018 
#VoteForCAR 
#VoteForKCR https://t.co/t8BzMbcTsu",2018-12-04 04:30:12,India
