,created_at,likes,replies,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1544506714000.0,10,0,2,"Congratulations to #KCR sir @trsharish Sir & @KTRTRS Sir @RaoKavitha madam You people Drove the Car Successfully n  Won the race with Huge Victory #ElectionResults2018 
Dethadi..Pochamma Gudipic.twitter.com/aSX12QSBb1",1072365001460080640,975087552251285505,ManikantaKartik🇮🇳,LoyalBtNotRoyaL
1,1544506327000.0,3,0,2,"Its a Huge Win for #TRS We have seen such impact of Development for Farmers,24*7 Electricity,water supply, rural development, and taking each step ahead of bangaru Telangana..Hope #KCR gonna resolve all the given promises and make Telangana a no. 1 State
#TelanganaElections2018pic.twitter.com/8SRnBm4o6v",1072363378277040128,989869291318099968,Maneeshwar Muni,Maneeshwar_21
2,1544522110000.0,6,0,0,Congratulations @KTRTRS garu and #KCR garu for the Epic win...Telangana believes in you...Hyderbad believes in you.. we believe in you  pic.twitter.com/kwkUH8CQeR,1072429577774002176,2517027324,Chaitu Katari,ChaituKatari
3,1544530366000.0,157,2,33,My Sand art to congratulate #KCR sir. pic.twitter.com/6nCinWxLy2,1072464203829649410,122091303,Manas sahoo,SandArtistManas
4,1544544949000.0,6498,393,578,#TelanganaElectionsResults Victory Of Telangana's Self Respect. Poll results showed people gave a massive mandate to @trspartyonline under the leadership of #KCR Garu. pic.twitter.com/DtbLfpm1XL,1072525372267339776,192942692,Harish Rao Thanneeru,trsharish
5,1544507290000.0,1,1,0,"So end of TDP chapter in Telangana. Even NM saying same thing.
#TelanganaElections2018 #KTR
#KCR #TRSpic.twitter.com/tTpnNnhByV",1072367416162820096,2191901444,siddarth,siddarthsahu1
6,1544521250000.0,1,0,0,#CBN Congrats #KCR pic.twitter.com/f3WgFtcKap,1072425970257281024,1013026419318968320,prime9news,prime9news
7,1544444493000.0,3,0,0,"#Owaisi reaches #KCR house on bike

Read: https://goo.gl/VK1Kua pic.twitter.com/kyrBf9iIqF",1072104025754034176,4630525694,Tollywood Radio,tollywoodradio
8,1544713089000.0,1,1,1,"My hearty congratulations to #kcr garu, @trsharish garu & @KTRTRS garu for winning huge hearts in Telangana elections. I strongly believe this will continues.",1073230601925189632,1073208752130519040,Hemanth Govindu,HemanthGovindu
9,1544771871000.0,3,0,0,"Congratulations for huge win for all our #TRS Crew. Representing our Telangana pride in Perth Australia. 

Now in Optus stadium india vs Australia. 
Best wishes to #kcr garu for great leadership @trsharish garu @KTRTRS garu @KTRoffice @RaoKavitha & all honourable TRS members.pic.twitter.com/nwW8KHRYio – at Perth Stadium Station",1073477150785691648,1073208752130519040,Hemanth Govindu,HemanthGovindu
10,1544551636000.0,0,0,0,"@KTRTRS 
Sir, A Big Salute To You. 
_/\_ 
@KTRoffice @trspartyonline
#KTR #KCR #Telanganapic.twitter.com/zeAqGXmWQ1",1072553416939970566,853520133020692482,💙 Pavan Neo 💙,pavvan_neo
