,created_at,likes,replies,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1543951544000.0,10,1,2,"Increasing #KCR popularity day by day.We don't want any other party expect #trs .We feel the change in last 4 years which never happens in last 60 yrs.Latest @IndiaToday survey @KTRTRS @RaoKavitha @trsharish @trspartyonline @KTR_News
#VoteForCAR #PhirEkBaarKCR #TelanganaWithKCRpic.twitter.com/EYSbCyhVvj",1070036450014486528,924319617245315072,SAIRAJA,iamsairaja
1,1544450278000.0,0,0,0,"LOGIC: Honorable Governor of TS should NOT consider KUTAMI as a single  group. How can we recognize KUTAMI as the single entity,""when both TJS  & Congress contested separately as a party within the same  constituency at few places"".@KTRTRS @RaoKavitha @trspartyonline #VoteForCAR",1072128293128806402,1069624348829454336,VinodReddy,drvinodreddys
2,1543927962000.0,1,0,0,That's why #VoteForCAR #TelanganaWithKCR #PhirEkbaarKCR @KTRTRS @RaoKavitha @trsharish @trspartyonline @memikkygalpic.twitter.com/1PMG7HJrfj,1069937541061591040,944066285595344896,Prudhvi Raj Perala,RajPerala
3,1544527464000.0,0,0,0,@trsharish  congratulations sir. You got 1lakh majority votes.#JaiTelangana.Now Trs2.0 will start soon @KTRTRS #VoteForCar #JaiTelangana @trsharish @trspartyonline,1072452034111123456,1071283162578247681,vishnuvardhanreddy,vishnuv39841055
4,1543938867000.0,0,0,0,@KTRTRS @MinIT_Telangana you made her wish come true thank you Soo much sir #voteForDevelopment #VoteForCAR pic.twitter.com/kDSoJJJZNF,1069983279632211968,766665784382726145,Sangamtiwari,sangam_shinchan
5,1544405434000.0,0,0,0,"Advance congratulations to KCR & team for forming the Telangana Government after Dec 11, 2018. 

@KTRTRS @RaoKavitha @trspartyonline
#PhirEkBaarKCR #TelanganaWithKCR #VoteForCAR pic.twitter.com/D4qzxcI7X2",1071940202682351616,1069624348829454336,VinodReddy,drvinodreddys
6,1543947035000.0,1189,109,306,Just read it .. what TRS did in 4.5yrs ..not done by two parties tdp Nd Congress for past 60yrs they are in rule OUR TELANGANA OUR LEADER  we shouldn't be puppet in other hands #VoteForCar #VoteForTRS #PhirEkBaarKCR @KTRTRS @trspartyonline @trsharishpic.twitter.com/STLQkJywtp,1070017538355052545,1022171868361633794,Gautam,Gautam96238380
7,1543976253000.0,4,0,0,@KTRTRS @ysjagan #VoteForCar #KCR. Vote for Car .. We wish @KTRTRS 2nd CM of TG.. Wishes from A.P. Guntur..pic.twitter.com/SARxlNLC3M,1070140088447754241,198811633,janga veerasai,jangaveera
8,1544504074000.0,2,0,0,"It's medical Miracle
Dr.Sanjay Kumar Won With 40k Majority In Jagtial. 
 @KTRTRS
#VoteForCar #KCRW2019
#kcrwon #TelanganaWithKCR",1072353929449607168,825376947131740161,Harichander Reddy,Harichander9
9,1544116572000.0,5,0,0,Travelling to Hometown (Kallakal)from Pune to cast my vote to CM KCR sir #GajwelConstituency #FeelingProud #VoteForCar @trsharish @KTRTRS,1070728625786421249,549143901,Manne Shyam,shyammanne
10,1544157010000.0,1,1,0,Agree with you bro @trspartyonline #VoteForCar #KCR,1070898237375172609,977390851331641344,Nishanth,BandaNishanth
11,1544029802000.0,1,0,0,We better put in KCR hands than CBN .. I want telangana water share #VoteForCar #TelanganaWithKCR,1070364686493700096,1052613906529640448,jayashankar,jayasha06704989
